index,omit_player,upper_slope,lower_slope,lower_minus_upper,change_vs_full
186,00-0032813,0.1411303008712033,-0.5144330435769346,-0.6555633444481379,-0.0012809067728749
187,00-0037617,0.1385716642978189,-0.5169705664909524,-0.6555422307887713,-0.0012597931135083
188,00-0027994,0.1373223184118223,-0.515710773377444,-0.6530330917892663,0.0012493458859966
189,00-0038134,0.1396499435382619,-0.515710773377444,-0.6553607169157059,-0.0010782792404429
190,00-0035250,0.1395894157476346,-0.515710773377444,-0.6553001891250786,-0.0010177514498156
191,00-0033950,0.1392272222782776,-0.516023710435379,-0.6552509327136566,-0.0009684950383936
192,00-0032377,0.1385716642978189,-0.5165730631923474,-0.6551447274901663,-0.0008622898149033
193,00-0036727,0.1295230350598886,-0.5239076448172135,-0.6534306798771021,0.0008517577981608
194,00-0031806,0.1394101779763916,-0.515710773377444,-0.6551209513538356,-0.0008385136785726
195,00-0030117,0.1377490103268664,-0.515710773377444,-0.6534597837043105,0.0008226539709524
196,00-0028083,0.1393639199726108,-0.515710773377444,-0.6550746933500549,-0.0007922556747919
197,00-0036251,0.1393506869408629,-0.515710773377444,-0.6550614603183069,-0.0007790226430439
198,00-0034975,0.1392440543001585,-0.515710773377444,-0.6549548276776025,-0.0006723900023395
199,00-0037304,0.139211522741551,-0.515710773377444,-0.654922296118995,-0.000639858443732
200,00-0031375,0.1391865248105377,-0.515710773377444,-0.6548972981879817,-0.0006148605127187
201,00-0033948,0.1379587402007571,-0.515710773377444,-0.6536695135782011,0.0006129240970618
202,00-0030432,0.1385716642978189,-0.5151025863636571,-0.6536742506614761,0.0006081870137868
203,00-0037197,0.1391678334166424,-0.515710773377444,-0.6548786067940864,-0.0005961691188234
204,00-0036950,0.1385716642978189,-0.5151381541872111,-0.6537098184850301,0.0005726191902328
205,00-0034367,0.1391330589088841,-0.515710773377444,-0.6548438322863281,-0.0005613946110651
206,00-0029239,0.1391496285912738,-0.5145838146212309,-0.6537334432125048,0.0005489944627581
207,00-0032417,0.1385716642978189,-0.5162389866294772,-0.6548106509272962,-0.0005282132520332
208,00-0032741,0.1380511578223977,-0.515710773377444,-0.6537619311998417,0.0005205064754212
209,00-0034301,0.1380741659721899,-0.515710773377444,-0.6537849393496339,0.000497498325629
210,00-0035537,0.139031353980965,-0.515710773377444,-0.6547421273584091,-0.0004596896831461
211,00-0036997,0.1381327404359,-0.515710773377444,-0.653843513813344,0.0004389238619189
212,00-0032257,0.1389321601895568,-0.515710773377444,-0.6546429335670009,-0.0003604958917379
213,00-0036670,0.1385716642978189,-0.5160611465413248,-0.6546328108391437,-0.0003503731638807
214,00-0036275,0.1389182779931913,-0.515710773377444,-0.6546290513706353,-0.0003466136953723
215,00-0036269,0.1385716642978189,-0.5160458308056521,-0.6546174951034711,-0.0003350574282081
216,00-0029004,0.1385716642978189,-0.5160073066605473,-0.6545789709583663,-0.0002965332831033
217,00-0036328,0.1388591735535835,-0.515710773377444,-0.6545699469310275,-0.0002875092557645
218,00-0032187,0.1388525631692855,-0.515710773377444,-0.6545633365467295,-0.0002808988714665
219,00-0030465,0.1374278893080557,-0.5166114724491468,-0.6540393617572026,0.0002430759180603
220,00-0036020,0.13834334796733,-0.515710773377444,-0.654054121344774,0.0002283163304889
221,00-0035217,0.138401712149844,-0.515710773377444,-0.6541124855272881,0.0001699521479748
222,00-0030513,0.138417225293337,-0.515710773377444,-0.654127998670781,0.0001544390044819
223,00-0034959,0.1388172645742367,-0.5156170336076785,-0.6544342981819152,-0.0001518605066522
224,00-0034184,0.1386945152551562,-0.515710773377444,-0.6544052886326002,-0.0001228509573372
225,00-0033118,0.1384694193680574,-0.515710773377444,-0.6541801927455014,0.0001022449297615
226,00-0037228,0.1384817421004247,-0.515710773377444,-0.6541925154778687,8.992219739423213e-05
227,00-0038120,0.1384838564234804,-0.515710773377444,-0.6541946298009245,8.78078743384858e-05
228,00-0029492,0.1360481632340301,-0.5183108583865766,-0.6543590216206068,-7.658394534382218e-05
229,00-0037157,0.1385887914113395,-0.515710773377444,-0.6542995647887835,-1.7127113520531978e-05
230,00-0035594,0.14061770612795,-0.5136759678346352,-0.6542936739625853,-1.1236287322358152e-05
